,date,currency,amount,balance,balance_cedis,amount_cedis,source,type,Cluster,narration,cleaned_narration,sub_category,main_category
0,2022-10-29 01:15:04,GHS,550.0,9906.78,9906.78,550.0,Stanbic Bank,debit,0,IB PMT USERHUB AFRICA,IB PMT USERHUB AFRICA,software,shopping
1,2022-11-01 01:15:17,GHS,1000.0,8536.69,8536.69,1000.0,Stanbic Bank,credit,0,None,None,others,others
2,2022-11-22 01:16:09,GHS,1483.69,4216.99,4216.99,1483.69,Stanbic Bank,credit,0,GOOGLE IRELAND LIMITED,GOOGLE IRELAND LIMITED,cloud services,shopping
3,2022-11-27 01:16:24,GHS,100.0,6822.72,6822.72,100.0,Stanbic Bank,debit,0,TECH NOVA BUSINESS,TECH NOVA BUSINESS,software,shopping
4,2022-11-28 01:16:26,GHS,13347.2,19869.91,19869.91,13347.2,Stanbic Bank,credit,0,FATRNOVEMBERSA,FATRNOVEMBERSA,others,others
5,2022-11-29 01:16:28,GHS,10181.81,32351.73,32351.73,10181.81,Stanbic Bank,credit,0,FAJEXITPACKAG,FAJEXITPACKAG,others,others
6,2022-11-30 01:16:42,GHS,1000.0,29763.36,29763.36,1000.0,Stanbic Bank,credit,0,MUSAH MUNIRU,MUSAH MUNIRU,others,others
7,2022-12-08 01:17:08,GHS,251.0,5042.39,5042.39,251.0,Stanbic Bank,credit,0,REVSENDCASH,REVSENDCASH,reversals,reversals
8,2022-12-08 01:17:07,GHS,251.0,4791.39,4791.39,251.0,Stanbic Bank,credit,0,REVSENDCASH,REVSENDCASH,reversals,reversals
9,2022-12-08 01:17:06,GHS,501.0,4540.39,4540.39,501.0,Stanbic Bank,credit,0,REVSENDCASH,REVSENDCASH,reversals,reversals
10,2022-12-20 01:17:47,GHS,700.0,3241.52,3241.52,700.0,Stanbic Bank,credit,0,TECH NOVA,TECH NOVA,software,shopping
11,2023-01-19 01:18:54,GHS,147.0,1818.93,1818.93,147.0,Stanbic Bank,debit,0,VISADIRECT VIDA E CAFFE EAST LE,VISADIRECT VIDA E CAFFE EAST LE,food,shopping
12,2023-01-27 01:19:24,GHS,1000.0,3308.04,3308.04,1000.0,Stanbic Bank,credit,0,MUNIRU MUSAH,MUNIRU MUSAH,others,others
13,2023-02-28 01:20:59,GHS,1000.0,2218.87,2218.87,1000.0,Stanbic Bank,credit,0,MUNIRU MUSAH,MUNIRU MUSAH,others,others
14,2023-03-15 01:21:34,GHS,3000.0,3829.3,3829.3,3000.0,Stanbic Bank,credit,0,ACRONYMS TECHNOLOGY,ACRONYMS TECHNOLOGY,software,shopping
15,2023-03-17 01:21:37,GHS,505.0,4154.74,4154.74,505.0,Stanbic Bank,credit,0,PF,PF,others,others
16,2023-03-25 01:21:59,GHS,227.4,2014.92,2014.92,227.4,Stanbic Bank,debit,0,VISADIRECT ERNEST CHEMISTS OSU,VISADIRECT ERNEST CHEMISTS OSU,personal care,shopping
17,2023-03-25 01:21:58,GHS,162.43,2242.32,2242.32,162.43,Stanbic Bank,debit,0,VISADIRECT JAMESTOWN COFFEE ROA,VISADIRECT JAMESTOWN COFFEE ROA,charges_or_fees,charges
18,2023-04-03 01:22:21,GHS,1000.0,1970.68,1970.68,1000.0,Stanbic Bank,debit,0,CONTRIBUTION,CONTRIBUTION,contributions,contributions
19,2023-04-03 01:22:20,GHS,1000.0,2970.68,2970.68,1000.0,Stanbic Bank,credit,0,MUNIRU MUSAH,MUNIRU MUSAH,others,others
20,2023-04-18 01:23:08,GHS,303.0,2161.62,2161.62,303.0,Stanbic Bank,credit,0,PF,PF,others,others
21,2023-04-21 01:23:13,GHS,146.0,1029.1,1029.1,146.0,Stanbic Bank,debit,0,VISADIRECT VIDA E CAFFE EAST LE,VISADIRECT VIDA E CAFFE EAST LE,food,shopping
22,2023-02-27 01:19:04,GHS,2957.27,2846.05,2846.05,2957.27,Stanbic Bank,credit,0,SALARY BO CAG KUMASI FEB,SALARY BO CAG KUMASI FEB,salary,income
23,2023-02-27 01:19:03,GHS,372.8,-111.22,-111.22,372.8,Stanbic Bank,debit,0,ELACGHVFEB,ELACGHVFEB,others,others
24,2023-03-22 01:19:49,GHS,372.8,12912.8,12912.8,372.8,Stanbic Bank,debit,0,ELACGHVMAR,ELACGHVMAR,others,others
25,2023-03-30 01:20:05,GHS,303.0,-167.91,-167.91,303.0,Stanbic Bank,debit,0,ZAKAT,ZAKAT,others,others
26,2023-03-30 01:20:02,GHS,4895.21,15235.09,15235.09,4895.21,Stanbic Bank,credit,0,SALARY BO CAG KUMASI MAR,SALARY BO CAG KUMASI MAR,salary,income
27,2023-04-27 01:20:33,GHS,7000.0,2079.06,2079.06,7000.0,Stanbic Bank,debit,0,RTGS PMT PRINCE SUWIEHCASH,RTGS PMT PRINCE SUWIEHCASH,others,others
28,2023-04-27 01:20:31,GHS,3434.28,9094.06,9094.06,3434.28,Stanbic Bank,credit,0,SALARY BO CAG KUMASI APR,SALARY BO CAG KUMASI APR,salary,income
29,2023-04-27 01:20:29,GHS,372.8,5664.84,5664.84,372.8,Stanbic Bank,debit,0,ELACGHVAPR,ELACGHVAPR,others,others
30,2023-05-26 01:21:05,GHS,3443.53,3373.44,3373.44,3443.53,Stanbic Bank,credit,0,SALARY BO CAG KUMASI MAY,SALARY BO CAG KUMASI MAY,salary,income
31,2023-05-29 01:21:15,GHS,372.8,719.64,719.64,372.8,Stanbic Bank,debit,0,ELACGHVMAY,ELACGHVMAY,others,others
32,2023-06-22 01:21:39,GHS,8.5,-38.44,-38.44,8.5,Stanbic Bank,debit,0,MILK,MILK,food,shopping
33,2023-06-27 01:21:43,GHS,3443.53,3374.59,3374.59,3443.53,Stanbic Bank,credit,0,SALARY BO CAG KUMASI JUN,SALARY BO CAG KUMASI JUN,salary,income
34,2023-07-04 01:22:09,GHS,72.0,2467.09,2467.09,72.0,Stanbic Bank,debit,0,FOOD,FOOD,food,shopping
35,2023-07-05 01:22:14,GHS,100.0,1966.37,1966.37,100.0,Stanbic Bank,credit,0,REVFUEL,REVFUEL,reversals,reversals
36,2023-07-05 01:22:13,GHS,100.0,1866.37,1866.37,100.0,Stanbic Bank,debit,0,FUEL,FUEL,fuel purchase,transportation
37,2023-07-08 01:22:31,GHS,42.0,454.32,454.32,42.0,Stanbic Bank,debit,0,YANGO,YANGO,transportation,transportation
38,2023-07-12 01:22:36,GHS,46.0,580.62,580.62,46.0,Stanbic Bank,debit,0,FOOD,FOOD,food,shopping
39,2023-07-13 01:22:38,GHS,25.0,555.12,555.12,25.0,Stanbic Bank,debit,0,YANGO,YANGO,transportation,transportation
40,2023-07-27 01:22:52,GHS,3443.43,3502.05,3502.05,3443.43,Stanbic Bank,credit,0,SALARY BO CAG KUMASI JUL,SALARY BO CAG KUMASI JUL,salary,income
41,2023-07-30 01:23:04,GHS,0.51,2322.46,2322.46,0.51,Stanbic Bank,debit,0,ELEVY NULL,ELEVY NULL,government tax,charges
42,2023-07-30 01:23:02,GHS,3.07,2373.96,2373.96,3.07,Stanbic Bank,debit,0,ELEVY NULL,ELEVY NULL,government tax,charges
